K,scope,row_type,run_id,run_count,period_count,periods_with_waiting_carryover,waiting_carryover_period_pct,periods_with_inservice_carryover,inservice_carryover_period_pct,periods_with_inference_unfinished_carryover,inference_unfinished_carryover_period_pct,mean_waiting_carryover_depth,p95_waiting_carryover_depth,max_waiting_carryover_depth,mean_inservice_carryover_depth,max_inservice_carryover_depth,mean_inference_unfinished_depth,p95_inference_unfinished_depth,max_inference_unfinished_depth,maximum_consecutive_inference_unfinished_carryover_periods,pre_ready_carryover_period_pct,mean_pre_ready_carryover_depth,max_pre_ready_carryover_depth
5,first_1s_excluded,sample_sd,ALL,5,0.0,1.3038404810405297,0.07366330401358925,113.73126219294323,6.425495039149334,114.12274094149684,6.447612482570443,0.001171550358945069,0.0,1.224744871391589,0.06425495039149334,0.0,0.06453476232646485,0.0,1.224744871391589,0.8944271909999159,0.0,0.0,0.0
5,first_1s_excluded,min,ALL,5,1770.0,0.0,0.0,230.0,12.994350282485875,230.0,12.994350282485875,0.0,0.0,0.0,0.12994350282485875,1.0,0.13050847457627118,1.0,1.0,6.0,0.0,0.0,0.0
5,first_1s_excluded,max,ALL,5,1770.0,3.0,0.1694915254237288,501.0,28.30508474576271,502.0,28.361581920903955,0.002824858757062147,0.0,3.0,0.2830508474576271,1.0,0.28418079096045196,1.0,4.0,8.0,0.0,0.0,0.0
6,all_60s,run,run01,1,1800,763,42.388888888888886,1770,98.33333333333333,1794,99.66666666666667,1.576111111111111,1.0,48,0.9833333333333333,1,2.5594444444444444,2.0,49,1794,0.6111111111111112,0.12222222222222222,36
6,all_60s,run,run02,1,1800,1233,68.5,1762,97.88888888888889,1796,99.77777777777777,8.92388888888889,25.0,36,0.9788888888888889,1,9.902777777777779,26.0,37,1796,0.4444444444444444,0.06388888888888888,24
6,all_60s,run,run03,1,1800,970,53.888888888888886,1779,98.83333333333333,1796,99.77777777777777,2.0055555555555555,16.049999999999955,37,0.9883333333333333,1,2.993888888888889,17.049999999999955,38,1796,0.5,0.065,24
6,all_60s,run,run04,1,1800,951,52.83333333333333,1775,98.61111111111111,1796,99.77777777777777,2.4472222222222224,20.0,38,0.9861111111111112,1,3.433333333333333,21.0,39,1796,0.5,0.06555555555555556,24
6,all_60s,run,run05,1,1800,1026,56.99999999999999,1773,98.5,1795,99.72222222222223,1.933888888888889,7.0,43,0.985,1,2.918888888888889,8.0,44,1795,0.5555555555555556,0.09722222222222222,30
6,all_60s,mean,ALL,5,1800.0,988.6,54.92222222222222,1771.8,98.43333333333332,1795.4,99.74444444444444,3.3773333333333335,13.809999999999992,40.4,0.9843333333333334,1.0,4.361666666666667,14.809999999999992,41.4,1795.4,0.5222222222222221,0.08277777777777777,27.6
6,all_60s,sample_sd,ALL,5,0.0,168.66030949811517,9.370017194339733,6.3796551630946325,0.3544252868385913,0.8944271909999159,0.04969039949998959,3.1160508997570213,9.734243678889488,5.029910535983716,0.003544252868385891,0.0,3.113123183683891,9.734243678889488,5.029910535983716,0.8944271909999159,0.06334307917217437,0.02614359681300543,5.366563145999495
6,all_60s,min,ALL,5,1800.0,763.0,42.388888888888886,1762.0,97.88888888888889,1794.0,99.66666666666667,1.576111111111111,1.0,36.0,0.9788888888888889,1.0,2.5594444444444444,2.0,37.0,1794.0,0.4444444444444444,0.06388888888888888,24.0
