acquisition_id,round,trace,policy,phase,logical_boundary_ns,notification_ns,apply_ns,old_C,new_C,active_counter_at_apply,A_service_at_apply,ready_at_apply,generated_backlog_at_apply,due_not_generated_at_apply,first_A_service_le_C_ns,first_A_service_lt_C_ns,first_counter_le_C_ns,first_counter_lt_C_ns,first_new_admission_ns,cohort_at_apply,n,miss_count,DMR_percent,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,local_mean_ms,local_p95_ms,local_p99_ms
primary_05,1,B,K_LOOKUP_C2_C4,1,85768868303206,85768868408107,85768868456561,4,2,3,3,0,3,6,85768875844483,85768876054753,85768875859418,85768876072605,85768879174784,already_service,3,3,100.0,0.3768993333333333,0.4216038,0.42504316,13.842290666666665,14.9027808,15.02312816,13.069724666666666,13.592333400000001,13.63826188,13.869822,14.369240099999999,14.43247682,41.15873666666666,41.4735343,41.50808126
primary_05,1,B,K_LOOKUP_C2_C4,1,85768868303206,85768868408107,85768868456561,4,2,3,3,0,3,6,85768875844483,85768876054753,85768875859418,85768876072605,85768879174784,already_ready,0,,,,,,,,,,,,,,,,,
primary_05,1,B,K_LOOKUP_C2_C4,1,85768868303206,85768868408107,85768868456561,4,2,3,3,0,3,6,85768875844483,85768876054753,85768875859418,85768876072605,85768879174784,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_05,1,B,K_LOOKUP_C2_C4,1,85768868303206,85768868408107,85768868456561,4,2,3,3,0,3,6,85768875844483,85768876054753,85768875859418,85768876072605,85768879174784,generated_after_apply,8550,3177,37.1578947368421,0.7013893081871344,2.4948118499999983,4.134357580000001,12.562194865964912,15.993074799999997,18.29139608000001,6.640965126081872,15.66859335,16.875010420000002,10.954046105964911,17.56746945,19.53920463,30.85859540619883,43.53016219999999,46.33337813
primary_05,1,B,K_LOOKUP_C2_C4,2,85783868303206,85783868398369,85783868426129,2,4,2,2,0,2,7,85783868426129,85783868426129,85783868426129,85783868426129,85783878948406,already_service,2,2,100.0,0.4851315,0.54760275,0.55315575,17.913399,18.2166054,18.24355708,11.817051,13.9067781,14.092531619999999,6.785223,7.863597599999999,7.95945312,37.0008045,38.25289215,38.364188829999996
primary_05,1,B,K_LOOKUP_C2_C4,2,85783868303206,85783868398369,85783868426129,2,4,2,2,0,2,7,85783868426129,85783868426129,85783868426129,85783868426129,85783878948406,already_ready,0,,,,,,,,,,,,,,,,,
primary_05,1,B,K_LOOKUP_C2_C4,2,85783868303206,85783868398369,85783868426129,2,4,2,2,0,2,7,85783868426129,85783868426129,85783868426129,85783868426129,85783878948406,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_05,1,B,K_LOOKUP_C2_C4,2,85783868303206,85783868398369,85783868426129,2,4,2,2,0,2,7,85783868426129,85783868426129,85783868426129,85783868426129,85783878948406,generated_after_apply,5850,2306,39.41880341880342,0.7541254852991454,2.651768200000001,4.329493260000009,12.762289475213676,16.37545815,18.78055428,6.32947123025641,15.608529800000001,16.90071973,12.03306856119658,18.0621522,19.997587110000012,31.878954751965814,44.2641129,46.830595120000005
primary_05,1,B,K_LOOKUP_C2_C4,3,85798868303206,85798868389994,85798868409040,4,2,3,3,0,3,6,85798869618650,85798873755577,85798869630900,85798873777170,85798879222485,already_service,3,3,100.0,0.526093,0.5983463,0.6024796600000001,14.074286333333333,14.484399199999999,14.51666464,11.105463,13.364502,13.4928644,12.683792,13.079353300000001,13.12218106,38.38963433333333,41.4395485,41.675445700000004
primary_05,1,B,K_LOOKUP_C2_C4,3,85798868303206,85798868389994,85798868409040,4,2,3,3,0,3,6,85798869618650,85798873755577,85798869630900,85798873777170,85798879222485,already_ready,0,,,,,,,,,,,,,,,,,
primary_05,1,B,K_LOOKUP_C2_C4,3,85798868303206,85798868389994,85798868409040,4,2,3,3,0,3,6,85798869618650,85798873755577,85798869630900,85798873777170,85798879222485,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_05,1,B,K_LOOKUP_C2_C4,3,85798868303206,85798868389994,85798868409040,4,2,3,3,0,3,6,85798869618650,85798873755577,85798869630900,85798873777170,85798879222485,generated_after_apply,2700,872,32.2962962962963,0.5444239759259258,1.8492925999999987,2.995650959999991,12.069320607037037,14.624260149999998,16.42334126999999,7.348039046666667,15.80373955,16.923787029999996,8.63035092,9.924015849999998,11.23225741,28.59213454962963,38.44703225,39.67444200999999
primary_06,1,A,FIXED_C4,1,85832767672224,85832767809591,85832767845036,4,4,2,2,0,2,7,85832767845036,85832767845036,85832767845036,85832767845036,85832780390345,already_service,2,2,100.0,0.4320735,0.5596660499999999,0.57100761,12.703755,13.0540908,13.08523176,16.19958,16.380327,16.3963934,11.0307435,11.032593449999998,11.032757890000001,40.366152,40.406298299999996,40.40986686
primary_06,1,A,FIXED_C4,1,85832767672224,85832767809591,85832767845036,4,4,2,2,0,2,7,85832767845036,85832767845036,85832767845036,85832767845036,85832780390345,already_ready,0,,,,,,,,,,,,,,,,,
primary_06,1,A,FIXED_C4,1,85832767672224,85832767809591,85832767845036,4,4,2,2,0,2,7,85832767845036,85832767845036,85832767845036,85832767845036,85832780390345,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_06,1,A,FIXED_C4,1,85832767672224,85832767809591,85832767845036,4,4,2,2,0,2,7,85832767845036,85832767845036,85832767845036,85832767845036,85832780390345,generated_after_apply,9000,3735,41.5,0.8483958328888889,3.053011949999994,4.896633180000001,12.925389244666666,16.4364945,18.35971218,5.055537462333334,15.026225749999996,16.68237307,14.670162129222222,18.822345849999998,20.881102600000002,33.49948466911111,44.650887299999994,47.63069782
primary_06,1,A,FIXED_C4,2,85847767672224,85847767774224,85847767800299,4,4,4,4,1,5,6,85847767800299,85847768035874,85847767800299,85847768049818,85847768075679,already_service,4,4,100.0,1.459686,2.7522482499999996,2.86686565,15.2014685,16.27287235,16.44356887,3.55236275,11.136372899999994,12.622332179999995,17.06604725,21.1601352,21.53663664,37.2795645,41.040786600000004,41.55627012
primary_06,1,A,FIXED_C4,2,85847767672224,85847767774224,85847767800299,4,4,4,4,1,5,6,85847767800299,85847768035874,85847767800299,85847768049818,85847768075679,already_ready,1,1,100.0,1.902716,1.902716,1.902716,16.627477,16.627477,16.627477,15.229134,15.229134,15.229134,9.80541,9.80541,9.80541,43.564737,43.564737,43.564737
primary_06,1,A,FIXED_C4,2,85847767672224,85847767774224,85847767800299,4,4,4,4,1,5,6,85847767800299,85847768035874,85847767800299,85847768049818,85847768075679,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_06,1,A,FIXED_C4,2,85847767672224,85847767774224,85847767800299,4,4,4,4,1,5,6,85847767800299,85847768035874,85847767800299,85847768049818,85847768075679,generated_after_apply,5850,2296,39.24786324786325,0.7940479805128206,2.7680763500000016,4.786952470000005,12.712061395726497,16.113863100000003,18.077380270000006,4.838329140341881,14.8801845,16.50835477,14.528602693846153,18.6880013,20.49489455000001,32.87304121042735,43.9897493,46.92749194
primary_06,1,A,FIXED_C4,3,85862767672224,85862767759310,85862767775718,4,4,2,2,0,2,7,85862767775718,85862767775718,85862767775718,85862767775718,85862782634572,already_service,2,2,100.0,0.8021755,1.16501995,1.19727279,12.8855295,13.28262885,13.317926570000001,16.183265,16.232819,16.237223800000002,12.180302,12.841277300000002,12.90003066,42.051272,42.6284384,42.67974208
primary_06,1,A,FIXED_C4,3,85862767672224,85862767759310,85862767775718,4,4,2,2,0,2,7,85862767775718,85862767775718,85862767775718,85862767775718,85862782634572,already_ready,0,,,,,,,,,,,,,,,,,
primary_06,1,A,FIXED_C4,3,85862767672224,85862767759310,85862767775718,4,4,2,2,0,2,7,85862767775718,85862767775718,85862767775718,85862767775718,85862782634572,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_06,1,A,FIXED_C4,3,85862767672224,85862767759310,85862767775718,4,4,2,2,0,2,7,85862767775718,85862767775718,85862767775718,85862767775718,85862782634572,generated_after_apply,3150,1424,45.20634920634921,0.9579976434920635,3.3839069499999996,5.517545239999971,13.222899985396825,16.739745449999994,18.53322866,5.41423928952381,15.05849845,16.63728517,14.888687817460317,18.98579914999999,21.13261866,34.483824735873014,45.103861599999995,47.84139627
primary_07,2,B,FIXED_C2,1,85896655229147,85896655332736,85896655357366,2,2,2,2,55,57,6,85896655357366,85896662365238,85896655357366,85896662396469,85896662437804,already_service,2,2,100.0,0.3024165,0.34787145,0.35191189,14.508665,15.7419314,15.85155508,266.958052,280.62255489999995,281.83717738,8.7631295,8.87645975,8.886533550000001,290.532263,305.5888175,306.9271779
primary_07,2,B,FIXED_C2,1,85896655229147,85896655332736,85896655357366,2,2,2,2,55,57,6,85896655357366,85896662365238,85896655357366,85896662396469,85896662437804,already_ready,55,55,100.0,0.6943465454545454,2.8050778999999975,4.52621752,13.331799690909092,16.577906199999997,18.63499334,257.7737364,273.68836569999996,277.07527760000005,8.657861290909091,10.222697099999996,11.53945892,280.45774392727276,298.0146542,300.4490007
primary_07,2,B,FIXED_C2,1,85896655229147,85896655332736,85896655357366,2,2,2,2,55,57,6,85896655357366,85896662365238,85896655357366,85896662396469,85896662437804,generated_pre_ready,0,,,,,,,,,,,,,,,,,
primary_07,2,B,FIXED_C2,1,85896655229147,85896655332736,85896655357366,2,2,2,2,55,57,6,85896655357366,85896662365238,85896655357366,85896662396469,85896662437804,generated_after_apply,8550,3282,38.3859649122807,0.6253158991812866,2.07100879999999,3.818713420000001,12.34886683637427,15.529467949999999,17.757794660000005,11.130342995555555,22.034168849999986,141.06394449000052,8.615899896725146,10.3049532,11.860368240000001,32.720425627836256,44.60271449999999,162.2356458800001
