request_id,phase,round,iteration,sample_id,split_point,network_used,activation_shape,payload_bytes,request_payload_sha256,output_shape,response_payload_bytes,response_payload_sha256,device_inference_wall_ms,device_inference_cuda_ms,remote_roundtrip_ms,e2e_inference_ms,success,error
76,warmup,0,4,149,5,True,"[1, 128, 24, 24]",294912,02d307fb9b44f7c70147e811846cdb6f30caedd9111fefb28d8117f6567f11cb,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,6.710258,6.451136112213135,22.506645,29.216903,True,
77,warmup,0,4,149,6,True,"[1, 160, 24, 24]",368640,218d67e35cc224b9a1092f76cb5190d92b96f7f254a9b3ac75643c73bdaf2082,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,10.198978,9.937888145446777,22.353469,32.552447,True,
78,warmup,0,4,149,7,True,"[1, 256, 12, 12]",147456,8b21c9cbbac63ecdc45a93b0bd9713dbc5ecd65391a784831031b79fbe447dca,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,16.101649,15.820351600646973,9.919922,26.021571,True,
79,warmup,0,4,149,8,True,"[1, 1280]",5120,f536598bbde266fb3492cfbd37526ed1b95a0450d52f86d96709e52d099cd6b6,"[1, 1000]",4000,5d4d7e074f73248cb25bf92b4ad3291e0eca61ca38f6aa2fed2099cb7f5e5da4,16.091547,16.043807983398438,10.070646,26.162193,True,
80,warmup,0,4,149,9,False,"[1, 1000]",0,NA,"[1, 1000]",0,NA,16.428448,16.384096145629883,NA,16.488883,True,
81,warmup,0,5,299,0,True,"[1, 3, 384, 384]",1769472,9618940284a7da9a7ec5bbd0b175a97efcb58e117ff029f53788e8d1d4e0b11b,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,0.0,0.0,59.405166,59.405166,True,
82,warmup,0,5,299,1,True,"[1, 24, 192, 192]",3538944,67e01a742d07c2ca535a73c4c8de89e995a61b9dbd0703ceb4d7c6da57e3172a,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,0.493446,0.19516800343990326,108.434728,108.928174,True,
83,warmup,0,5,299,2,True,"[1, 24, 192, 192]",3538944,1d01cc285401cc9ecbef6af2d9ade12e821830439b456379e4367e78e41941cf,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,2.02015,1.7147200107574463,97.225426,99.245576,True,
84,warmup,0,5,299,3,True,"[1, 48, 96, 96]",1769472,794fb10063d9065ad49143f0072e9463705e2dfc8cab44d53319c987a4727c64,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,5.223055,5.06876802444458,58.740262,63.963317,True,
85,warmup,0,5,299,4,True,"[1, 64, 48, 48]",589824,cf90276a5b62ce83322d240681e2e3daad2573426900cae90894787a703ba180,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,6.673461,6.33139181137085,30.139954,36.813415,True,
86,warmup,0,5,299,5,True,"[1, 128, 24, 24]",294912,16dccb383c7e1d5c1d741faa2bae01e58365bfb67ac1a83ec93e9a1bd33fb5a4,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,8.467082,8.284768104553223,23.67904,32.146122,True,
87,warmup,0,5,299,6,True,"[1, 160, 24, 24]",368640,7b78e48598cd0151590557db307961300c31d5ea3967a8a5fb9c5108b17ce82c,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,12.738252,12.425375938415527,22.750137,35.488389,True,
88,warmup,0,5,299,7,True,"[1, 256, 12, 12]",147456,4a4150013da97ebc6627bf6fcac4755fec0a4cb7dbc85b899e44968a4d15216f,"[1, 1000]",4000,95afa7ca496b0b31e225901f341b30a59e751ad377f5f0fb9f93a10bc9106c6c,19.958632,19.630399703979492,9.961561,29.920193,True,
