K,run_id,second,waiting_time_mean,active_time_mean,logical_frame_deadline_miss_pct,boundary_prior_waiting_mean,boundary_prior_active_mean
5,run04,48,0.88330965,1.186769016,2.0,0,0.1
5,run04,49,0.930952465,1.161566255,1.3333333333333333,0,0.06666666666666667
5,run04,50,0.928497914,1.152998119,0.6666666666666666,0,0.03333333333333333
5,run04,51,0.941182713,1.160337476,2.0,0,0.1
5,run04,52,0.948043913,1.164215775,2.0,0,0.1
5,run04,53,0.939069082,1.171819656,1.3333333333333333,0,0.06666666666666667
5,run04,54,0.943503533,1.163564544,0.6666666666666666,0,0.03333333333333333
5,run04,55,0.913157734,1.149573406,0.0,0,0
5,run04,56,0.946488504,1.157153013,0.6666666666666666,0,0.03333333333333333
5,run04,57,0.957635176,1.166561213,2.0,0,0.1
5,run04,58,0.865486621,1.15680878,4.0,0,0.2
5,run04,59,0.897068844,1.155878381,4.0,0,0.2
5,run05,0,9.579085423,1.469747622,78.0,9.133333333333333,1.3666666666666667
5,run05,1,0.736680142,1.165103546,6.0,0,0.3
5,run05,2,0.805048374,1.149521343,0.0,0,0
5,run05,3,0.855627493,1.151260018,0.0,0,0
5,run05,4,0.869592003,1.154927444,0.0,0,0
5,run05,5,0.8796684,1.154417533,0.0,0,0
5,run05,6,0.873495444,1.149793469,0.0,0,0
5,run05,7,0.861890173,1.142042038,0.0,0,0
5,run05,8,0.878286165,1.150837379,0.0,0,0
5,run05,9,0.881476697,1.157370646,0.0,0,0
5,run05,10,0.891293655,1.155733996,0.6666666666666666,0,0.03333333333333333
5,run05,11,0.869204676,1.150489334,0.6666666666666666,0,0.03333333333333333
5,run05,12,0.867028862,1.14968249,0.0,0,0
5,run05,13,0.844096571,1.143553853,0.0,0,0
5,run05,14,0.868188115,1.159172849,1.3333333333333333,0,0.06666666666666667
5,run05,15,0.846933872,1.151692356,0.0,0,0
5,run05,16,0.843607067,1.144948774,0.0,0,0
5,run05,17,0.831310055,1.142886382,0.0,0,0
5,run05,18,0.861397648,1.155474888,0.0,0,0
5,run05,19,0.894199742,1.159930578,0.0,0,0
5,run05,20,0.872967401,1.161281107,0.6666666666666666,0,0.03333333333333333
5,run05,21,0.897178288,1.162819228,0.0,0,0
5,run05,22,0.889071771,1.157239382,0.6666666666666666,0,0.03333333333333333
5,run05,23,0.897194371,1.159015701,1.3333333333333333,0,0.06666666666666667
5,run05,24,0.85662784,1.152782513,0.0,0,0
5,run05,25,0.883468804,1.149702458,0.0,0,0
5,run05,26,0.855264279,1.153007652,0.0,0,0
5,run05,27,0.858282034,1.159759036,1.3333333333333333,0,0.06666666666666667
5,run05,28,0.871848328,1.148594421,0.0,0,0
5,run05,29,0.861733586,1.148112082,0.6666666666666666,0,0.03333333333333333
5,run05,30,0.867946495,1.151771493,0.6666666666666666,0,0.03333333333333333
5,run05,31,0.889319595,1.148967603,0.6666666666666666,0,0.03333333333333333
5,run05,32,0.882681769,1.156922632,0.0,0,0
5,run05,33,0.879352126,1.158721995,0.6666666666666666,0,0.03333333333333333
5,run05,34,0.887738187,1.154170193,0.0,0,0
5,run05,35,0.900126038,1.154600975,2.0,0,0.1
5,run05,36,0.860615265,1.150249461,1.3333333333333333,0,0.06666666666666667
5,run05,37,0.881443675,1.147165248,0.0,0,0
5,run05,38,0.861470783,1.151927018,0.0,0,0
5,run05,39,0.875879224,1.15956763,0.6666666666666666,0,0.03333333333333333
5,run05,40,0.859976388,1.148905708,0.0,0,0
5,run05,41,0.853335884,1.162294056,0.6666666666666666,0,0.03333333333333333
5,run05,42,0.853532837,1.149773675,0.6666666666666666,0,0.03333333333333333
5,run05,43,0.843343313,1.150930045,0.0,0,0
5,run05,44,0.889552235,1.153797933,0.6666666666666666,0,0.03333333333333333
5,run05,45,0.860662133,1.162375174,0.0,0,0
5,run05,46,0.862299424,1.159913784,0.6666666666666666,0,0.03333333333333333
5,run05,47,0.85493166,1.150556575,0.6666666666666666,0,0.03333333333333333
5,run05,48,0.852294182,1.153148457,0.0,0,0
5,run05,49,0.881786727,1.15115064,1.3333333333333333,0,0.06666666666666667
5,run05,50,0.857788882,1.155026452,0.6666666666666666,0,0.03333333333333333
5,run05,51,0.894209214,1.156693462,0.0,0,0
5,run05,52,0.898988088,1.158822116,0.6666666666666666,0,0.03333333333333333
5,run05,53,0.869192485,1.156771619,0.6666666666666666,0,0.03333333333333333
5,run05,54,0.869272912,1.15717091,0.0,0,0
5,run05,55,0.856508731,1.148964469,0.0,0,0
5,run05,56,0.876918927,1.154496834,0.0,0,0
5,run05,57,0.891107404,1.156088761,2.0,0,0.1
5,run05,58,0.853643827,1.142278262,0.0,0,0
5,run05,59,0.889110176,1.151143599,1.3333333333333333,0.03333333333333333,0.03333333333333333
6,run01,0,22.394276791,1.605626988,100.0,22.233333333333334,1.6333333333333333
6,run01,1,8.089720882,1.831786663,73.33333333333333,7.033333333333333,1.8666666666666667
6,run01,2,1.25074721,1.49289291,27.222222222222225,0,1.6333333333333333
6,run01,3,1.25198979,1.512202392,28.88888888888889,0,1.7333333333333334
6,run01,4,1.298248116,1.531027434,30.555555555555557,0,1.8333333333333333
