fold,service_lookup_id,K,C,A_start,level,key,training_samples,training_runs
2,73,3,2,0,KCA_start,"(3, 2, 0)",7165,4
2,74,3,2,1,KCA_start,"(3, 2, 1)",14369,4
2,75,3,3,0,KCA_start,"(3, 3, 0)",7159,4
2,76,3,3,1,KCA_start,"(3, 3, 1)",7161,4
2,77,3,3,2,KCA_start,"(3, 3, 2)",7193,4
2,78,3,4,0,KCA_start,"(3, 4, 0)",7163,4
2,79,3,4,1,KCA_start,"(3, 4, 1)",7162,4
2,80,3,4,2,KCA_start,"(3, 4, 2)",7161,4
2,81,3,4,3,CA_start,"(4, 3)",73818,21
2,82,3,5,0,KCA_start,"(3, 5, 0)",7162,4
2,83,3,5,1,KCA_start,"(3, 5, 1)",7161,4
2,84,3,5,2,KCA_start,"(3, 5, 2)",7165,4
2,85,3,5,3,CA_start,"(5, 3)",28217,18
2,86,3,5,4,CA_start,"(5, 4)",42846,16
2,87,3,6,0,KCA_start,"(3, 6, 0)",7137,4
2,88,3,6,1,KCA_start,"(3, 6, 1)",7138,4
2,89,3,6,2,KCA_start,"(3, 6, 2)",7136,4
2,90,3,6,3,CA_start,"(6, 3)",27969,22
2,91,3,6,4,CA_start,"(6, 4)",20806,15
2,92,3,6,5,CA_start,"(6, 5)",20704,13
2,93,3,7,0,KCA_start,"(3, 7, 0)",7134,4
2,94,3,7,1,KCA_start,"(3, 7, 1)",7134,4
2,95,3,7,2,KCA_start,"(3, 7, 2)",7134,4
2,96,3,7,3,CA_start,"(7, 3)",28359,23
2,97,3,7,4,CA_start,"(7, 4)",21684,15
2,98,3,7,5,CA_start,"(7, 5)",14706,13
2,99,3,7,6,CA_start,"(7, 6)",8737,9
2,100,3,8,0,KCA_start,"(3, 8, 0)",7132,4
2,101,3,8,1,KCA_start,"(3, 8, 1)",7137,4
2,102,3,8,2,KCA_start,"(3, 8, 2)",7137,4
2,103,3,8,3,CA_start,"(8, 3)",28349,21
2,104,3,8,4,CA_start,"(8, 4)",21631,15
2,105,3,8,5,CA_start,"(8, 5)",14532,11
2,106,3,8,6,CA_start,"(8, 6)",7445,10
2,107,3,8,7,CA_start,"(8, 7)",1294,5
2,108,4,1,0,KCA_start,"(4, 1, 0)",28700,4
2,109,4,2,0,KCA_start,"(4, 2, 0)",7151,4
2,110,4,2,1,KCA_start,"(4, 2, 1)",21552,4
2,111,4,3,0,KCA_start,"(4, 3, 0)",7150,4
2,112,4,3,1,KCA_start,"(4, 3, 1)",7153,4
2,113,4,3,2,KCA_start,"(4, 3, 2)",14393,4
2,114,4,4,0,KCA_start,"(4, 4, 0)",7158,4
2,115,4,4,1,KCA_start,"(4, 4, 1)",7159,4
2,116,4,4,2,KCA_start,"(4, 4, 2)",7157,4
2,117,4,4,3,KCA_start,"(4, 4, 3)",7217,4
2,118,4,5,0,KCA_start,"(4, 5, 0)",7113,4
2,119,4,5,1,KCA_start,"(4, 5, 1)",7122,4
2,120,4,5,2,KCA_start,"(4, 5, 2)",7137,4
2,121,4,5,3,KCA_start,"(4, 5, 3)",7089,4
2,122,4,5,4,CA_start,"(5, 4)",42846,16
2,123,4,6,0,KCA_start,"(4, 6, 0)",7106,4
2,124,4,6,1,KCA_start,"(4, 6, 1)",7109,4
2,125,4,6,2,KCA_start,"(4, 6, 2)",7130,4
2,126,4,6,3,KCA_start,"(4, 6, 3)",7093,4
2,127,4,6,4,CA_start,"(6, 4)",20806,15
2,128,4,6,5,CA_start,"(6, 5)",20704,13
2,129,4,7,0,KCA_start,"(4, 7, 0)",7104,4
2,130,4,7,1,KCA_start,"(4, 7, 1)",7113,4
2,131,4,7,2,KCA_start,"(4, 7, 2)",7124,4
2,132,4,7,3,KCA_start,"(4, 7, 3)",7098,4
