fold,run,K,C,A_start,training_n,training_runs,test_n,train_W_q25_ns,train_W_q75_ns,test_low_n,test_high_n,test_low_service_mean_ms,test_high_service_mean_ms,high_minus_low_ms,heldout_spearman_W_S,heldout_service_CDF_mean
3,2,1,1,0,7194,4,1799,42074.25,215984.5,437,667,11.817218594965675,11.586082316341829,-0.2311362786238469,-0.10583400682514144,0.5394479804753606
3,7,1,2,0,7185,4,1797,203641.0,218040.0,455,873,11.104475013186812,11.60186579725086,0.4973907840640468,0.1308654133319632,0.5232737311741636
3,12,1,3,0,7186,4,1797,46267.5,211659.75,225,564,11.293897533333332,10.999471333333334,-0.2944261999999984,-0.040680297771793134,0.3714698446757212
3,17,1,4,0,7187,4,1797,55079.0,215933.0,845,161,11.529743641420119,11.356140465838509,-0.17360317558160965,-0.027139985191238353,0.5392366217399731
3,22,1,5,0,7183,4,1796,41279.5,211193.5,191,785,11.561241575916231,11.30374101656051,-0.25750055935572114,0.025481248764365843,0.4574891005644049
3,27,1,6,0,7176,4,1794,52880.75,211827.5,763,443,11.641631770642203,11.829380528216705,0.18774875757450182,0.07091345495313442,0.5231062540936032
3,32,1,7,0,7176,4,1794,39379.0,207488.0,238,770,11.076640575630252,11.122755154545453,0.04611457891520132,0.017777361839689643,0.4734269222690773
3,37,1,8,0,7176,4,1795,45274.25,210474.75,686,337,11.399926494169096,11.579208106824925,0.17928161265582965,-0.004696705123934715,0.519595882902774
3,42,2,1,0,14367,4,3591,215307.5,5816289.5,905,824,5.953278509392265,6.187262779126214,0.23398426973394848,0.10576342380987122,0.510404201652054
3,47,2,2,0,7176,4,1795,36858.75,209195.75,323,498,10.382482832817336,11.647021911646586,1.2645390788292499,0.4442371355618146,0.5408021321458405
3,47,2,2,1,7187,4,1798,63380.5,220353.5,227,508,11.13055459030837,11.157727907480314,0.027173317171945044,-0.06498966713476877,0.5662765842355644
3,52,2,3,0,7177,4,1797,65547.0,223301.0,645,354,11.524647945736435,11.743650618644068,0.2190026729076333,0.08417926732482069,0.5231764674593894
3,52,2,3,1,7180,4,1795,36936.75,128014.25,486,386,11.119572534979424,11.203634334196892,0.08406179921746748,0.0592090333200539,0.5252417346234123
3,57,2,4,0,7184,4,1793,40109.75,154918.25,602,606,10.60731153654485,11.33090907590759,0.7235975393627392,0.38228077777194985,0.4590666406229621
3,57,2,4,1,7178,4,1794,65184.75,219452.75,245,579,11.003395881632652,11.101625735751295,0.09822985411864238,0.027756345063356988,0.49893122270979734
3,62,2,5,0,7173,4,1793,51056.0,211741.0,256,547,11.15363253125,11.556118148080438,0.4024856168304378,0.15413715595537478,0.4824741320573082
3,62,2,5,1,7175,4,1793,39509.5,202490.5,271,570,10.929391730627305,11.009208645614036,0.07981691498673094,0.06370168565831111,0.5101528009623176
3,67,2,6,0,7159,4,1789,42057.0,121730.5,426,672,10.8486235,11.30203677827381,0.45341327827380873,0.22510552689841504,0.49075448346435213
3,67,2,6,1,7160,4,1789,52991.5,214585.5,366,531,11.07376430874317,11.115268757062147,0.04150444831897637,0.033164154870086164,0.47982643779022016
3,72,2,7,0,7157,4,1790,37879.0,80439.0,307,637,10.76807306514658,11.453943335949763,0.6858702708031821,0.36256621088312385,0.5804620705751216
3,72,2,7,1,7157,4,1791,53195.0,219629.0,417,395,11.05688923501199,11.123233658227848,0.06634442321585787,0.0015761941566521836,0.5678270257720534
3,77,2,8,0,7158,4,1789,39040.0,84186.0,434,570,10.782819195852534,11.429690642105262,0.6468714462527281,0.2555931240521264,0.5262938378351701
3,77,2,8,1,7160,4,1790,44500.75,208236.25,302,696,11.038927662251655,11.17155842097701,0.13263075872535524,0.04627920007125599,0.536720607971037
