K,C,A_start,valid_heldout_run_groups,mean_high_minus_low_service_ms,SD_high_minus_low_service_ms,negative_direction_runs,median_heldout_spearman
7,6,1,5,1.628550301107176,0.5914416549719332,0,0.1446711550615678
7,6,2,5,0.22244975485392757,0.1738345288024747,0,0.0068023855151623
7,6,3,5,-0.24813963729206562,0.2859574423843686,4,-0.1074176893343454
7,6,4,5,-0.2836142922051451,0.21385005599538173,5,-0.1000277388621907
7,6,5,5,-16.37661556525831,0.2853103264452399,5,-0.8420431757304414
7,7,0,5,2.0733339482036177,0.6264616457891691,0,0.1638703143938156
7,7,1,5,0.83901463458443,0.2522678040362285,0,0.0937809181330281
7,7,2,5,0.42601692438206984,0.20113031334825482,0,0.0090264971468002
7,7,3,5,0.16805648410752877,0.14862197396369825,1,-0.025995099817363
7,7,4,5,0.07263598335891644,0.17044194977888152,2,-0.0435147412937822
7,7,5,5,-0.024978920873931564,0.2379234121654551,2,-0.0572746328076232
7,7,6,5,0.9654800056176356,0.17639127370569188,0,0.1649987867341077
7,8,0,5,2.2625304643243105,0.6317602013093083,0,0.1507978376555562
7,8,1,5,0.8908231189974352,0.4113785461514763,0,0.0938180690619492
7,8,2,5,0.6275028683619667,0.3397601182583302,0,0.0455817011223221
7,8,3,5,0.2414916491430524,0.1961619372186586,0,-0.0220996438012963
7,8,4,5,0.2566143272263396,0.31436730213409236,1,-0.0473804439758637
7,8,5,5,0.13738347495146994,0.20137366402284315,1,-0.0404777696135488
7,8,6,5,0.15103661123940948,0.20591760598517136,1,0.0098738693381765
7,8,7,5,2.014182764263463,0.836438981734591,0,0.172963917118427
