fold,model,scope,stage,bin,n,predicted,observed
1,P,K6,Queue,2,96,0.2427108813367553,0.13541666666666666
1,P,K6,Queue,3,57,0.3430328427588353,0.19298245614035087
1,P,K6,Queue,4,33,0.4514930697963781,0.2727272727272727
1,P,K6,Queue,5,503,0.5607947615768594,0.9701789264413518
1,P,K6,Queue,6,180,0.6313992090962298,0.9333333333333333
1,P,K6,Queue,7,102,0.7437192550420397,0.8431372549019608
1,P,K6,Queue,8,229,0.8585506540080452,0.8471615720524017
1,P,K6,Queue,9,5040,0.9946339983972549,0.9888888888888889
1,P,K6,Service,0,29316,0.006949117937405025,0.004775549188156638
1,P,K6,Service,1,2697,0.14187835103618168,0.11827956989247312
1,P,K6,Service,2,2173,0.24909731973865223,0.3354809019788311
1,P,K6,Service,3,1776,0.3512365828407566,0.3716216216216216
1,P,K6,Service,4,2571,0.44790151740817874,0.43757292882147025
1,P,K6,Service,5,3854,0.5476845598506759,0.4421380384016606
1,P,K6,Service,6,2020,0.642176321068103,0.5851485148514851
1,P,K6,Service,7,1616,0.7600511336123956,0.6602722772277227
1,P,K6,Service,8,8394,0.8566574097146233,0.8489397188467953
1,P,K6,Service,9,30142,0.9783175092140124,0.9703072125273704
1,P,K6,On_time,0,37272,0.019864065536733345,0.022134578235672893
1,P,K6,On_time,1,6992,0.14511587017566677,0.16361556064073227
1,P,K6,On_time,2,1791,0.24567003687683917,0.2964824120603015
1,P,K6,On_time,3,2233,0.35751369574147895,0.3560232870577698
1,P,K6,On_time,4,3837,0.45225826745210296,0.5366171488141778
1,P,K6,On_time,5,2517,0.5525701552136433,0.546285260230433
1,P,K6,On_time,6,1744,0.6488550914068296,0.6232798165137615
1,P,K6,On_time,7,2115,0.7504288587219866,0.6609929078014184
1,P,K6,On_time,8,1857,0.8512015511386741,0.8481421647819063
1,P,K6,On_time,9,24201,0.9930087362362016,0.9965290690467336
1,P,K7,Queue,0,61906,0.0023477761068792136,0.006929861402771945
1,P,K7,Queue,1,1436,0.14507889283122524,0.19011142061281336
1,P,K7,Queue,2,853,0.24839891013128926,0.3786635404454865
1,P,K7,Queue,3,1224,0.3545072131088254,0.6503267973856209
1,P,K7,Queue,4,1283,0.4483341685181473,0.583008573655495
1,P,K7,Queue,5,1537,0.5472070370383277,0.5653871177618738
1,P,K7,Queue,6,841,0.6448550148388595,0.619500594530321
