fold,model,scope,stage,bin,n,predicted,observed
1,P,K7,Queue,8,230,0.8479981133347404,0.7565217391304347
1,P,K7,Queue,9,25988,0.9997134446631915,0.9994612898260735
1,P,K7,Service,0,36513,0.004132958320809512,0.0046011009777339575
1,P,K7,Service,1,1288,0.15861267405989088,0.1498447204968944
1,P,K7,Service,2,2046,0.25515289414091546,0.34408602150537637
1,P,K7,Service,3,2993,0.3510900407666805,0.497494153023722
1,P,K7,Service,4,3003,0.44735314857418185,0.4945054945054945
1,P,K7,Service,5,4688,0.5595229355234054,0.6053754266211604
1,P,K7,Service,6,2732,0.6514421756090303,0.6431185944363104
1,P,K7,Service,7,4128,0.7593132692598396,0.7572674418604651
1,P,K7,Service,8,6635,0.8574276945628928,0.8405425772418991
1,P,K7,Service,9,31823,0.973536287396053,0.971090092071772
1,P,K7,On_time,0,65380,0.016089774803417185,0.013704496788008565
1,P,K7,On_time,1,6886,0.13585116267417394,0.08146964856230032
1,P,K7,On_time,2,2420,0.2439306329070999,0.2822314049586777
1,P,K7,On_time,3,2118,0.35062391925237135,0.3881019830028329
1,P,K7,On_time,4,2902,0.43850465870438615,0.2005513439007581
1,P,K7,On_time,5,1219,0.5558772153992017,0.4224774405250205
1,P,K7,On_time,6,1974,0.6515605734919468,0.4564336372847011
1,P,K7,On_time,7,1553,0.746020133234532,0.657437218287186
1,P,K7,On_time,8,875,0.8365141314648903,0.8502857142857143
1,P,K7,On_time,9,10522,0.9863901146183456,0.9852689602737122
2,B0,ALL,Queue,0,315448,0.015583968395932245,0.006194364839846821
2,B0,ALL,Queue,1,27496,0.1445811809851941,0.12885510619726506
2,B0,ALL,Queue,2,14783,0.24290735058181293,0.21024149360752215
2,B0,ALL,Queue,3,6940,0.3455460510747795,0.45994236311239195
2,B0,ALL,Queue,4,5602,0.4501148304327994,0.6385219564441271
2,B0,ALL,Queue,5,5251,0.5478801961034507,0.7747095791277852
2,B0,ALL,Queue,6,4428,0.648397423300966,0.7901987353206865
2,B0,ALL,Queue,7,5613,0.7532199733145107,0.877605558524853
2,B0,ALL,Queue,8,8081,0.8492764379889979,0.9800767231778246
2,B0,ALL,Queue,9,1068,0.9170172003636305,0.9953183520599251
2,B0,ALL,Service,0,197783,0.020616269880951853,0.012169903378955724
2,B0,ALL,Service,1,46535,0.14758530105236967,0.06135167078543032
2,B0,ALL,Service,2,18472,0.24854405768136112,0.14210697271546124
2,B0,ALL,Service,3,16897,0.35066503311972835,0.320885364265846
2,B0,ALL,Service,4,19870,0.45085094389082014,0.4093608454957222
2,B0,ALL,Service,5,16452,0.5451615437351623,0.6225382932166302
2,B0,ALL,Service,6,16619,0.6507661438084406,0.7548588964438293
2,B0,ALL,Service,7,16612,0.7457979525391467,0.8401155790994462
2,B0,ALL,Service,8,23573,0.8531505248224323,0.9141814788105035
2,B0,ALL,Service,9,21897,0.9253870110868272,0.9818696625108463
2,B0,ALL,On_time,0,60675,0.038271546157363265,0.019283065512978988
2,B0,ALL,On_time,1,25104,0.1462718255723774,0.08855162523900574
2,B0,ALL,On_time,2,19180,0.24931320308086796,0.1808133472367049
2,B0,ALL,On_time,3,17962,0.3497362507441811,0.29829640351853914
2,B0,ALL,On_time,4,15702,0.4484064959169684,0.41319577123933254
2,B0,ALL,On_time,5,13681,0.5497056235192874,0.5495212338279366
2,B0,ALL,On_time,6,14381,0.6519475953244483,0.707530769765663
2,B0,ALL,On_time,7,18619,0.751346861179946,0.8375852623664
2,B0,ALL,On_time,8,24831,0.8535921780148235,0.8986347710523136
2,B0,ALL,On_time,9,184575,0.9770669199441946,0.987755654882839
2,B0,K5,Queue,0,66324,0.01222021740434357,0.0020354622760991497
2,B0,K5,Queue,1,2693,0.1451472224164216,0.01188265874489417
2,B0,K5,Queue,2,1285,0.23736558298507585,0.014007782101167316
2,B0,K5,Queue,3,357,0.34832485208132036,0.05042016806722689
2,B0,K5,Queue,4,286,0.44619985253523337,0.024475524475524476
2,B0,K5,Queue,5,127,0.5414690353799072,0.10236220472440945
2,B0,K5,Queue,6,42,0.6526776854478294,0.42857142857142855
2,B0,K5,Queue,7,21,0.7352855479381672,0.5714285714285714
2,B0,K5,Queue,8,8,0.8462529783044604,1.0
2,B0,K5,Queue,9,4,0.9303761970116717,1.0
2,B0,K5,Service,0,43862,0.031654044956624154,0.05414709771556245
2,B0,K5,Service,1,10984,0.14336823301859167,0.12800436999271667
2,B0,K5,Service,2,6174,0.24579258388582553,0.19436345966958213
2,B0,K5,Service,3,2892,0.34264871612400394,0.24930843706777317
2,B0,K5,Service,4,1530,0.4469845266492787,0.3156862745098039
2,B0,K5,Service,5,1530,0.5551810408678068,0.3032679738562091
