acquisition_id,round,trace,policy,phase,K,window,arrival_start_s,arrival_end_s,arrival_count,miss_count,DMR_percent,local_mean_ms,local_p95_ms,local_p99_ms,queue_mean_ms,queue_p95_ms,queue_p99_ms,service_mean_ms,service_p95_ms,service_p99_ms,start_lag_mean_ms,start_lag_p95_ms,start_lag_p99_ms,front_end_mean_ms,front_end_p95_ms,front_end_p99_ms,calendar_completed_fps,time_mean_ready_queue,peak_ready_queue,time_mean_unfinished_backlog,peak_unfinished_backlog,time_mean_generated_unfinished,peak_generated_unfinished,time_mean_A,peak_A
primary_02,1,A,FIXED_C2,1,7,transition,15,16,210,93,44.2857142857143,32.6512358571429,47.7326266,50.32212848,10.2847683238095,22.54550055,25.05280137,8.69690337142857,11.2159495,13.09172961,0.771950276190476,2.71196285,4.71243745,12.8976138857143,17.19203365,18.86717085,209,2.151602893,6,6.828863524,12,6.793628187,12,1.806652157,2
primary_02,1,A,FIXED_C2,1,7,phase_remainder,16,30,2940,1325,45.0680272108844,32.5206875901361,46.47425665,52.06412044,10.2359062129252,22.92813335,26.49579282,8.5788305085034,10.70626535,12.61169295,0.735420702380952,2.60173365,4.41915572,12.9705301663265,16.7363581,18.81453,210,2.14988457228571,8,6.83078649714286,13,6.79139971007143,13,1.80265224242857,2
primary_02,1,A,FIXED_C2,2,6,transition,30,31,180,55,30.5555555555556,28.0240458722222,37.71688025,38.41524897,7.41563612777778,15.709771,16.66179166,8.68661007777778,9.90158595,10.78710728,0.57268005,1.80108729999999,3.21353506,11.3491196166667,13.96126425,14.85743069,181,1.338193212,4,5.053466373,9,5.022582449,9,1.569349221,2
primary_02,1,A,FIXED_C2,2,6,phase_remainder,31,45,2520,797,31.6269841269841,28.5352924210317,38.5980617,40.11746645,7.30168181746032,15.8556779,16.82215732,8.61554240634921,9.9396065,11.02098515,0.613622038888889,1.9823133,3.63717827,12.0044461583333,14.65586525,16.57342563,180,1.31430272714286,6,5.13630551021429,11,5.10637872,11,1.55075050757143,2
primary_02,1,A,FIXED_C2,3,7,transition,45,46,210,88,41.9047619047619,31.8291126428571,45.88148135,47.0540658,9.39651397142857,21.9330681,23.28238269,8.46752486666667,10.83252815,13.97441732,0.766910257142857,3.02430915,4.34636557,13.198163547619,17.50277165,19.7044038,209,1.969491749,5,6.670617054,11,6.637927585,11,1.768459806,2
primary_02,1,A,FIXED_C2,3,7,phase_remainder,46,60,2940,1260,42.8571428571429,31.6785149030612,44.6730961,47.31408786,9.7519556085034,22.4742358,24.40313017,8.52136268945578,10.46952845,12.06596448,0.714067228231292,2.5397374,4.47794234,12.6911293768707,16.135242,18.12562786,210,2.04762498264286,7,6.65214334628571,12,6.61680254557143,12,1.78942707657143,2
primary_03,1,A,K_LOOKUP_C2_C4,0,6,startup,0,1,180,180,100,257.924852922222,350.6409709,359.46740042,164.28755595,225.4230272,232.49019138,10.4832905944444,14.8816815,34.3356802300001,60.3267727166667,218.71311155,249.58955835,22.8272336611111,24.7487937999997,282.15515746,144,26.777836541,53,43.291593713,59,43.173328718,59,1.546036024,2
primary_03,1,A,K_LOOKUP_C2_C4,0,6,phase_remainder,1,15,2520,945,37.5,34.8967459380952,89.5033597,169.75747178,13.5298334448413,65.8518040999998,145.40025863,8.69079239365079,10.09979865,11.71104872,0.5754089,1.98039135,3.48964557,12.1007111996032,15.0115288,17.81644484,182.428571428571,2.6349359865,36,6.50464050592857,42,6.47479592992857,42,1.5880029015,2
primary_03,1,A,K_LOOKUP_C2_C4,1,7,transition,15,16,210,98,46.6666666666667,34.8396999571429,45.26977185,48.88979314,5.52255935238095,14.90352895,17.17982186,15.0388472761905,19.4309019,24.38309605,0.916096423809524,3.11417965,3.93595684,13.3621969047619,17.3387136,20.08929361,208,1.159737464,5,7.290970493,13,7.251966026,13,3.13279143,4
primary_03,1,A,K_LOOKUP_C2_C4,1,7,phase_remainder,16,30,2940,1328,45.1700680272109,34.7347624642857,45.3469239,47.61076043,5.49811700408163,15.2631799,17.00534991,15.0001766741497,18.98524705,21.34969188,0.979673760204082,3.3244926,4.98884532,13.2567950258503,16.9971598,18.78033048,210.071428571429,1.15460457085714,5,7.2947045245,13,7.25229189,13,3.15044150857143,4
