acquisition_id,round,trace,policy,second,sample_ns,sample_side,C,A,ready_queue,unfinished_backlog,generated_unfinished,due_not_generated,online_active_counter,observed_K,latest_event_seq,latest_event_ns,unfinished_slack_min_ms,unfinished_slack_p10_ms,unfinished_slack_median_ms,unfinished_slack_p90_ms,unfinished_late_count,unfinished_late_fraction,unfinished_urgent_5ms_count,unfinished_urgent_10ms_count,ready_slack_min_ms,ready_slack_p10_ms,ready_slack_median_ms,ready_slack_p90_ms,ready_late_count,ready_late_fraction,ready_urgent_5ms_count,ready_urgent_10ms_count,generated_slack_min_ms,generated_slack_p10_ms,generated_slack_median_ms,generated_slack_p90_ms,generated_late_count,generated_late_fraction,generated_urgent_5ms_count,generated_urgent_10ms_count
primary_01,1,B,FIXED_C4,55,85553225180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,43204,85553219638486,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,56,85554225180489,RIGHT_CONTINUOUS,4,1,0,7,1,6,1,6,43925,85554224784119,-6.66666666666667e-07,19.9999997333333,33.3333333333333,33.3333333333333,1,0.142857142857143,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,1,1,0,0
primary_01,1,B,FIXED_C4,57,85555225180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,44644,85555221852693,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,58,85556225180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,45364,85556222508937,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,59,85557225180489,RIGHT_CONTINUOUS,4,2,0,8,2,6,2,6,46084,85557220701646,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_01,1,B,FIXED_C4,60,85558225180489,RIGHT_CONTINUOUS,4,2,0,2,2,0,2,6,46810,85558225125639,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,0,85562271800980,RIGHT_CONTINUOUS,2,0,0,6,0,6,0,6,0,85562171816794,33.3333333333333,33.3333333333333,33.3333333333333,33.3333333333333,0,0,0,0,,,,,0,,0,0,,,,,0,,0,0
primary_02,1,A,FIXED_C2,1,85563271800980,RIGHT_CONTINUOUS,2,2,18,26,20,6,2,6,682,85563271424257,-100.000000666667,-66.6666666666667,-33.3333336666667,33.3333333333333,20,0.769230769230769,0,0,-66.6666666666667,-66.6666666666667,-33.3333336666667,-6.66666666666667e-07,18,1,0,0,-100.000000666667,-70.0000000666667,-33.3333336666667,-6.66666666666667e-07,20,1,0,0
primary_02,1,A,FIXED_C2,2,85564271800980,RIGHT_CONTINUOUS,2,2,0,8,2,6,2,6,1438,85564266230209,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,3,85565271800980,RIGHT_CONTINUOUS,2,2,0,8,2,6,2,6,2158,85565266086113,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
primary_02,1,A,FIXED_C2,4,85566271800980,RIGHT_CONTINUOUS,2,2,0,8,2,6,2,6,2878,85566266726920,-6.66666666666667e-07,-6.66666666666667e-07,33.3333333333333,33.3333333333333,2,0.25,0,0,,,,,0,,0,0,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,-6.66666666666667e-07,2,1,0,0
