C,K,metric,n_runs,mean,sample_sd,median,min,max,run01,run02,run03,run04,run05
2,5,start_lag_p95_ms,5,1.9464919,0.6975695208862026,1.63665065,1.6023262,3.19372675,3.19372675,1.6023262,1.63665065,1.6641411000000002,1.6356148000000001
2,5,front_end_p95_ms,5,13.19389937,1.1858787879194124,12.5948849,12.3411917,15.21937985,15.21937985,12.3411917,12.538147050000001,13.27589335,12.5948849
2,5,queue_wait_p99_ms,5,25.022354868,14.516833145906578,16.93455454,16.37488764,50.1291121,16.93455454,16.513856490000002,25.15936357,16.37488764,50.1291121
2,5,inference_p99_ms,5,9.813600402,0.346493318695289,9.749854529999999,9.43252213,10.37161836,9.749854529999999,9.43252213,9.67589914,10.37161836,9.83810785
2,5,time_weighted_active_offered,5,1.1566868372733334,0.005598032251425189,1.1571686989166667,1.1498308458,1.1645219530333333,1.1645219530333333,1.1531582403333334,1.1571686989166667,1.1498308458,1.1587544482833334
2,5,active_0_offered_pct,5,34.83158840833333,0.5638770365703345,35.086637795,34.076272395,35.40727463333333,34.076272395,35.40727463333333,35.18247743333333,34.405279785,35.086637795
2,5,active_1_offered_pct,5,14.668139456,1.0734023998776736,13.951279581666666,13.8696267,16.20635585,15.395259906666666,13.8696267,13.918175241666667,16.20635585,13.951279581666666
2,5,active_2_offered_pct,5,50.50027213566666,0.6440720993027208,50.723098666666665,49.388364365,50.96208262333333,50.52846769833333,50.723098666666665,50.899347325,49.388364365,50.96208262333333
2,5,time_weighted_waiting_offered,5,0.8982975433666667,0.11860185150935319,0.9400057925833334,0.7092161970833334,1.01227959775,0.8638810623333333,0.9400057925833334,0.9661050670833333,0.7092161970833334,1.01227959775
2,5,waiting_positive_offered_pct,5,44.17582411966667,4.069278463338745,46.329662545000005,37.147498926666664,46.83730509,44.127434040000004,46.43721999666667,46.329662545000005,37.147498926666664,46.83730509
2,5,workers_actually_used,5,2,0.0,2,2,2,2,2,2,2,2
2,5,submitted_overlap_time_ms,5,9530.8437026,800.9888881703453,9653.927551,8400.927391,10397.405677,9094.172904,10107.78499,9653.927551,8400.927391,10397.405677
2,5,completion_elapsed_s,5,60.0044374704,0.0028476276446275065,60.004675268,60.001299301,60.008672161,60.001299301,60.005132014,60.004675268,60.002408608,60.008672161
2,5,drain_after_offered_end_s,5,0.0044374704,0.0028476276446291744,0.004675268,0.001299301,0.008672161,0.001299301,0.005132014,0.004675268,0.002408608,0.008672161
2,5,wall_clock_duration_s,5,62.566033459799996,0.1569773749004459,62.60938379,62.396825992,62.728173261,62.60938379,62.396825992,62.728173261,62.691261643,62.404522613
2,5,queue_depth_wait_pearson,5,0.9329780827173695,0.024214957571595693,0.9459042258560679,0.8945023641878149,0.9512557145702499,0.9459042258560679,0.923624093354585,0.9496040156181295,0.8945023641878149,0.9512557145702499
2,6,local_latency_mean_ms,5,31.338498873703703,0.9913308997732395,31.004247095833332,30.26780146759259,32.76632959203704,31.004247095833332,30.76408906546296,31.890027147592594,32.76632959203704,30.26780146759259
2,6,local_latency_median_ms,5,28.2066157,0.12651306859303124,28.2023015,28.0883965,28.3895915,28.0883965,28.3895915,28.090601,28.262188,28.2023015
